2018-10-26 15:56:50,373; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 16:00:36,246; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 16:00:36,246; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 16:00:36,246; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 16:00:36,246; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 16:00:37,296; github; DEBUG;	github_controller.py;       	 Total number of repositories obtainable: 11
2018-10-26 16:42:38,224; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 16:42:38,225; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 16:42:38,226; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 16:42:38,226; github; ERROR;	authentication.py;       	 API key file not found
2018-10-26 16:42:38,226; github; WARNING;	github_controller.py;       	 'api_key' file missing in project root. Please, create the file and add your API key to it
2018-10-26 16:43:32,956; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 16:43:32,958; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 16:43:32,958; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 16:43:32,959; github; ERROR;	authentication.py;       	 API key file not found
2018-10-26 16:43:32,959; github; WARNING;	github_controller.py;       	 'api_key' file missing in project root. Please, create the file and add your API key to it
2018-10-26 16:43:59,627; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
2018-10-26 16:43:59,629; github; DEBUG;	__main__.py;       	 Namespace(action=['list-my-repositories'], https=False, url_only=False)
2018-10-26 16:43:59,629; github; DEBUG;	__main__.py;       	 Spawning github ctl
2018-10-26 16:43:59,630; github; DEBUG;	authentication.py;       	 Obtained API key from file
2018-10-26 16:45:51,466; github; DEBUG;	__main__.py;       	 Obtaining arguments from CLI
